Provincia;Partido;Localidad;Poblacion;ADSL;CABLEMODEM;DIALUP;FIBRAOPTICA;SATELITAL;WIRELESS;TELEFONIAFIJA;3G;4G;link;Latitud;Longitud
BUENOS AIRES;Punta Indio;Las Tahonas;0;--;--;--;--;--;--;--;--;--;6655040.0;-35,3548754574502;-57,3822045685313
CATAMARCA;Fray Mamerto Esquiú;La Carrera;0;--;--;--;--;SI;--;--;--;--;10063050.0;-28,3495576813874;-65,7091195877043
CATAMARCA;Fray Mamerto Esquiú;La Falda De San Antonio;0;--;--;--;--;--;SI;--;--;--;10063050.0;-28,4198487342191;-65,6988377960377
BUENOS AIRES;Escobar;Puerto Paraná;0;--;--;--;--;--;--;--;SI;SI;6252010.0;-34,2467;-58,7308
CATAMARCA;Fray Mamerto Esquiú;El Hueco;0;--;--;--;SI;--;--;--;SI;--;10063050.0;-28,4127884506849;-65,7175369854892
BUENOS AIRES;Adolfo Alsina;Thames;0;--;--;--;--;--;--;--;--;--;6007010.0;-36,9291655620507;-63,2957265324881
BUENOS AIRES;Adolfo Alsina;Villa Margarita;0;--;--;--;--;--;--;--;--;--;6007100.0;-37,4600992847959;-63,2405658599852
CATAMARCA;Fray Mamerto Esquiú;La Tercena;0;--;--;--;--;--;SI;--;SI;--;10063050.0;-28,3734473479931;-65,7081292515981
BUENOS AIRES;Florencio Varela;El Tropezon;0;--;--;--;--;--;--;--;SI;SI;6274010.0;-34,9564048574127;-58,2787454299742
BUENOS AIRES;Florencio Varela;La Capilla;0;--;--;--;SI;--;--;SI;SI;SI;6274010.0;-34,9437330109546;-58,2632550914349
BUENOS AIRES;La Plata;Villa Parque Sicardi;0;--;--;--;--;--;SI;--;SI;SI;6441030.0;-34,9830288461923;-57,8674653074052
BUENOS AIRES;Rojas;Barrio Las Margaritas;0;--;--;--;--;--;--;--;--;--;6686080.0;-34,1932374145653;-60,6820264999894
BUENOS AIRES;Rojas;Villa Parque Cecir;0;--;--;--;--;--;--;--;--;--;6686060.0;-34,1707175989305;-60,7438336816558
CATAMARCA;Fray Mamerto Esquiú;San Antonio;0;--;--;--;SI;--;--;--;SI;SI;10063050.0;-28,4237766788262;-65,7062134320732
BUENOS AIRES;Saladillo;Blaquier;0;--;--;--;--;--;--;--;--;--;6707060.0;-35,767700734608;-59,3038642874232
CATAMARCA;Tinogasta;La Puntilla;0;--;--;--;--;--;--;--;--;--;10105150.0;-28,1243914662106;-67,4981013989976
CATAMARCA;Tinogasta;La Ramadita;0;--;--;--;--;--;--;--;--;--;10105080.0;-27,6442427673373;-67,6139458012753
CATAMARCA;Tinogasta;Pampa Blanca;0;--;--;--;--;--;--;--;--;--;10105080.0;-27,6354340349652;-67,6168389660358
CORDOBA;Santa María;La Cumbrecita;0;--;--;--;--;--;SI;SI;--;--;14147280.0;-31,898333;-64,773333
CORDOBA;Santa María;La Donosa;0;--;--;--;--;--;SI;--;--;--;14147280.0;-31,6430306930417;-64,3453826897825
CORDOBA;Sobremonte;Cerro Colorado;0;--;--;--;--;--;--;--;--;--;14154040.0;-30,096944;-63,931111
CORDOBA;Punilla;San Roque Del Lago;0;--;--;--;--;--;--;--;--;--;14091060.0;-31,3266874438793;-64,4544689502096
CORDOBA;Totoral;La Paz;0;--;--;--;--;--;--;--;--;--;14168030.0;-30,9548424648838;-64,2147074598285
CORDOBA;Santa María;Mi Valle;0;--;--;--;--;--;--;--;--;--;14147220.0;-31,5725913753684;-64,3341910295503
CORDOBA;Santa María;Milenica;0;--;--;--;--;--;--;--;SI;SI;14147217.0;-31,4572735024583;-64,4057106148379
CORDOBA;Santa María;Tejas Tres;0;--;--;--;--;--;--;--;--;--;14147220.0;-31,4661292884087;-64,3670949660514
CORDOBA;Santa María;Tierra Alta;0;--;--;--;--;--;--;--;--;--;14147220.0;-31,4723029527477;-64,4707945856239
ENTRE RIOS;Concordia;Benito Legeren;0;--;--;--;--;--;--;--;SI;SI;30015130.0;-31,4288786267036;-58,0768061386463
ENTRE RIOS;Concordia;Colonia Yeruá;0;--;--;--;--;--;--;--;--;--;30015087.0;-31,4408896802806;-58,1194803676389
ENTRE RIOS;Concordia;El Redomón;0;--;--;--;--;--;--;--;--;--;30015110.0;-31,0958808459898;-58,290063733468
ENTRE RIOS;Concordia;Las Tejas;0;--;--;--;--;--;--;--;SI;SI;30015130.0;-31,4119399624827;-58,0740082494429
ENTRE RIOS;Concordia;Villa Adela;0;--;--;--;--;--;--;--;SI;SI;30015130.0;-31,4037426459166;-58,0394128271546
ENTRE RIOS;Concordia;VILLA ZORRAQUIN;0;--;--;--;--;--;--;--;SI;SI;30015130.0;-31,3299511832527;-58,0174848453444
ENTRE RIOS;Colón;El Brillante;0;--;--;--;--;--;SI;--;--;--;30008100.0;-32,1797669801643;-58,2122328834059
